No,商品コード,商品名称,細分類コード,細分類名称,メーカーコード,メーカー名称,出現日,容量,年月,地区コード,地区名称,金額,数量,平均価格,金額／販売店千人,数量／販売店千人,数量／店,販売店率
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年04月,980,全国,24169557,225756,107.06,434.073,4.054,248.90,90.61%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年05月,980,全国,23965173,226032,106.03,415.771,3.921,248.39,90.91%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年06月,980,全国,17277428,147997,116.74,312.446,2.676,162.99,90.71%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年07月,980,全国,21017339,175019,120.09,358.252,2.983,192.12,91.01%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年08月,980,全国,21884186,180260,121.40,368.746,3.037,197.65,91.11%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年09月,980,全国,19301629,159489,121.02,343.023,2.834,174.88,91.11%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年10月,980,全国,20101746,167121,120.28,343.469,2.856,181.46,92.01%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年11月,980,全国,18342980,150287,122.05,330.557,2.708,161.95,92.71%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年12月,980,全国,18434891,149400,123.39,303.588,2.460,162.75,91.71%
5,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年01月,980,全国,18662619,182806,102.09,383.717,3.759,219.98,83.02%
5,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年02月,980,全国,20832362,210048,99.18,446.506,4.502,251.25,83.52%
5,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年03月,980,全国,21695849,219669,98.77,417.673,4.229,262.13,83.72%
5,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年04月,980,全国,19492784,194020,100.47,382.119,3.803,234.04,82.82%
5,4902105252482,日清　おいしいカップヌードル　５７ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,57,2023年05月,980,全国,22831757,229254,99.59,434.657,4.364,279.24,82.02%
